numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
2;auspol2019;Cerrado_Lineal;60000;2188
2;auspol2019;Cerrado_Lineal;70000;2533
2;auspol2019;Cerrado_Lineal;80000;2908
2;auspol2019;Cerrado_Lineal;90000;3236
2;auspol2019;Cerrado_Lineal;100000;3565
2;auspol2019;Cerrado_Lineal;110000;3879
2;auspol2019;Cerrado_Lineal;120000;4190
2;auspol2019;Cerrado_Lineal;130000;4499
2;auspol2019;Cerrado_Lineal;140000;4801
2;auspol2019;Cerrado_Lineal;150000;5179
2;auspol2019;Cerrado_Lineal;160000;5566
2;auspol2019;Cerrado_Lineal;170000;5919
2;auspol2019;Cerrado_Lineal;180000;6230
2;auspol2019;Cerrado_Cuadratico;10000;378
2;auspol2019;Cerrado_Cuadratico;20000;732
2;auspol2019;Cerrado_Cuadratico;30000;1094
2;auspol2019;Cerrado_Cuadratico;40000;1426
2;auspol2019;Cerrado_Cuadratico;50000;1766
2;auspol2019;Cerrado_Cuadratico;60000;2115
2;auspol2019;Cerrado_Cuadratico;70000;2460
2;auspol2019;Cerrado_Cuadratico;80000;2804
2;auspol2019;Cerrado_Cuadratico;90000;3118
2;auspol2019;Cerrado_Cuadratico;100000;3428
2;auspol2019;Cerrado_Cuadratico;110000;3731
2;auspol2019;Cerrado_Cuadratico;120000;4032
2;auspol2019;Cerrado_Cuadratico;130000;4348
2;auspol2019;Cerrado_Cuadratico;140000;4627
2;auspol2019;Cerrado_Cuadratico;150000;4940
2;auspol2019;Cerrado_Cuadratico;160000;5294
2;auspol2019;Cerrado_Cuadratico;170000;5622
2;auspol2019;Cerrado_Cuadratico;180000;5912
2;auspol2019;Cerrado_Doble;10000;554
2;auspol2019;Cerrado_Doble;20000;1129
2;auspol2019;Cerrado_Doble;30000;1710
2;auspol2019;Cerrado_Doble;40000;2281
2;auspol2019;Cerrado_Doble;50000;2829
2;auspol2019;Cerrado_Doble;60000;3393
2;auspol2019;Cerrado_Doble;70000;3948
2;auspol2019;Cerrado_Doble;80000;4509
2;auspol2019;Cerrado_Doble;90000;5034
2;auspol2019;Cerrado_Doble;100000;5559
2;auspol2019;Cerrado_Doble;110000;6100
2;auspol2019;Cerrado_Doble;120000;6618
2;auspol2019;Cerrado_Doble;130000;7134
2;auspol2019;Cerrado_Doble;140000;7638
2;auspol2019;Cerrado_Doble;150000;8674
2;auspol2019;Cerrado_Doble;160000;9377
2;auspol2019;Cerrado_Doble;170000;10049
2;auspol2019;Cerrado_Doble;180000;10618
2;auspol2019;STL_UnorderedMap;10000;272
2;auspol2019;STL_UnorderedMap;20000;571
2;auspol2019;STL_UnorderedMap;30000;863
2;auspol2019;STL_UnorderedMap;40000;1124
2;auspol2019;STL_UnorderedMap;50000;1385
2;auspol2019;STL_UnorderedMap;60000;1661
2;auspol2019;STL_UnorderedMap;70000;1931
2;auspol2019;STL_UnorderedMap;80000;2212
2;auspol2019;STL_UnorderedMap;90000;2479
2;auspol2019;STL_UnorderedMap;100000;2738
2;auspol2019;STL_UnorderedMap;110000;2978
2;auspol2019;STL_UnorderedMap;120000;3215
2;auspol2019;STL_UnorderedMap;130000;3447
2;auspol2019;STL_UnorderedMap;140000;3669
2;auspol2019;STL_UnorderedMap;150000;3926
2;auspol2019;STL_UnorderedMap;160000;4230
2;auspol2019;STL_UnorderedMap;170000;4519
2;auspol2019;STL_UnorderedMap;180000;4766
3;auspol2019;Hash_Abierto;10000;368
3;auspol2019;Hash_Abierto;20000;751
3;auspol2019;Hash_Abierto;30000;1143
3;auspol2019;Hash_Abierto;40000;1494
3;auspol2019;Hash_Abierto;50000;1836
3;auspol2019;Hash_Abierto;60000;2193
3;auspol2019;Hash_Abierto;70000;2531
3;auspol2019;Hash_Abierto;80000;2882
3;auspol2019;Hash_Abierto;90000;3199
3;auspol2019;Hash_Abierto;100000;3523
3;auspol2019;Hash_Abierto;110000;3822
3;auspol2019;Hash_Abierto;120000;4119
3;auspol2019;Hash_Abierto;130000;4411
3;auspol2019;Hash_Abierto;140000;4695
3;auspol2019;Hash_Abierto;150000;5027
3;auspol2019;Hash_Abierto;160000;5404
3;auspol2019;Hash_Abierto;170000;5733
3;auspol2019;Hash_Abierto;180000;6022
3;auspol2019;Cerrado_Lineal;10000;363
3;auspol2019;Cerrado_Lineal;20000;736
3;auspol2019;Cerrado_Lineal;30000;1116
3;auspol2019;Cerrado_Lineal;40000;1462
3;auspol2019;Cerrado_Lineal;50000;1822
3;auspol2019;Cerrado_Lineal;60000;2196
3;auspol2019;Cerrado_Lineal;70000;2708
3;auspol2019;Cerrado_Lineal;80000;3077
3;auspol2019;Cerrado_Lineal;90000;3411
3;auspol2019;Cerrado_Lineal;100000;3739
3;auspol2019;Cerrado_Lineal;110000;4077
3;auspol2019;Cerrado_Lineal;120000;4397
3;auspol2019;Cerrado_Lineal;130000;4714
3;auspol2019;Cerrado_Lineal;140000;5033
3;auspol2019;Cerrado_Lineal;150000;5385
3;auspol2019;Cerrado_Lineal;160000;5829
3;auspol2019;Cerrado_Lineal;170000;6202
3;auspol2019;Cerrado_Lineal;180000;6521
3;auspol2019;Cerrado_Cuadratico;10000;340
3;auspol2019;Cerrado_Cuadratico;20000;700
3;auspol2019;Cerrado_Cuadratico;30000;1082
3;auspol2019;Cerrado_Cuadratico;40000;1420
3;auspol2019;Cerrado_Cuadratico;50000;1759
3;auspol2019;Cerrado_Cuadratico;60000;2114
3;auspol2019;Cerrado_Cuadratico;70000;2451
3;auspol2019;Cerrado_Cuadratico;80000;2812
3;auspol2019;Cerrado_Cuadratico;90000;3135
3;auspol2019;Cerrado_Cuadratico;100000;3437
3;auspol2019;Cerrado_Cuadratico;110000;3731
3;auspol2019;Cerrado_Cuadratico;120000;4023
