numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
2;auspol2019;Cerrado_Lineal;70000;753
2;auspol2019;Cerrado_Lineal;80000;875
2;auspol2019;Cerrado_Lineal;90000;977
2;auspol2019;Cerrado_Lineal;100000;1087
2;auspol2019;Cerrado_Lineal;110000;1248
2;auspol2019;Cerrado_Lineal;120000;1394
2;auspol2019;Cerrado_Lineal;130000;1493
2;auspol2019;Cerrado_Lineal;140000;1586
2;auspol2019;Cerrado_Lineal;150000;1706
2;auspol2019;Cerrado_Lineal;160000;1862
2;auspol2019;Cerrado_Lineal;170000;2012
2;auspol2019;Cerrado_Lineal;180000;2134
2;auspol2019;Cerrado_Cuadratico;10000;70
2;auspol2019;Cerrado_Cuadratico;20000;174
2;auspol2019;Cerrado_Cuadratico;30000;303
2;auspol2019;Cerrado_Cuadratico;40000;410
2;auspol2019;Cerrado_Cuadratico;50000;520
2;auspol2019;Cerrado_Cuadratico;60000;659
2;auspol2019;Cerrado_Cuadratico;70000;785
2;auspol2019;Cerrado_Cuadratico;80000;910
2;auspol2019;Cerrado_Cuadratico;90000;1013
2;auspol2019;Cerrado_Cuadratico;100000;1115
2;auspol2019;Cerrado_Cuadratico;110000;1213
2;auspol2019;Cerrado_Cuadratico;120000;1312
2;auspol2019;Cerrado_Cuadratico;130000;1408
2;auspol2019;Cerrado_Cuadratico;140000;1498
2;auspol2019;Cerrado_Cuadratico;150000;1616
2;auspol2019;Cerrado_Cuadratico;160000;1770
2;auspol2019;Cerrado_Cuadratico;170000;1918
2;auspol2019;Cerrado_Cuadratico;180000;2050
2;auspol2019;Cerrado_Doble;10000;81
2;auspol2019;Cerrado_Doble;20000;200
2;auspol2019;Cerrado_Doble;30000;323
2;auspol2019;Cerrado_Doble;40000;441
2;auspol2019;Cerrado_Doble;50000;575
2;auspol2019;Cerrado_Doble;60000;715
2;auspol2019;Cerrado_Doble;70000;851
2;auspol2019;Cerrado_Doble;80000;988
2;auspol2019;Cerrado_Doble;90000;1103
2;auspol2019;Cerrado_Doble;100000;1220
2;auspol2019;Cerrado_Doble;110000;1333
2;auspol2019;Cerrado_Doble;120000;1446
2;auspol2019;Cerrado_Doble;130000;1555
2;auspol2019;Cerrado_Doble;140000;1661
2;auspol2019;Cerrado_Doble;150000;1793
2;auspol2019;Cerrado_Doble;160000;1961
2;auspol2019;Cerrado_Doble;170000;2137
2;auspol2019;Cerrado_Doble;180000;2275
2;auspol2019;STL_UnorderedMap;10000;146
2;auspol2019;STL_UnorderedMap;20000;283
2;auspol2019;STL_UnorderedMap;30000;410
2;auspol2019;STL_UnorderedMap;40000;505
2;auspol2019;STL_UnorderedMap;50000;603
2;auspol2019;STL_UnorderedMap;60000;701
2;auspol2019;STL_UnorderedMap;70000;785
2;auspol2019;STL_UnorderedMap;80000;872
2;auspol2019;STL_UnorderedMap;90000;939
2;auspol2019;STL_UnorderedMap;100000;1001
2;auspol2019;STL_UnorderedMap;110000;1057
2;auspol2019;STL_UnorderedMap;120000;1112
2;auspol2019;STL_UnorderedMap;130000;1165
2;auspol2019;STL_UnorderedMap;140000;1215
2;auspol2019;STL_UnorderedMap;150000;1292
2;auspol2019;STL_UnorderedMap;160000;1395
2;auspol2019;STL_UnorderedMap;170000;1478
2;auspol2019;STL_UnorderedMap;180000;1544
3;auspol2019;Hash_Abierto;10000;139
3;auspol2019;Hash_Abierto;20000;279
3;auspol2019;Hash_Abierto;30000;405
3;auspol2019;Hash_Abierto;40000;511
3;auspol2019;Hash_Abierto;50000;614
3;auspol2019;Hash_Abierto;60000;729
3;auspol2019;Hash_Abierto;70000;832
3;auspol2019;Hash_Abierto;80000;939
3;auspol2019;Hash_Abierto;90000;1023
3;auspol2019;Hash_Abierto;100000;1103
3;auspol2019;Hash_Abierto;110000;1177
3;auspol2019;Hash_Abierto;120000;1249
3;auspol2019;Hash_Abierto;130000;1320
3;auspol2019;Hash_Abierto;140000;1385
3;auspol2019;Hash_Abierto;150000;1479
3;auspol2019;Hash_Abierto;160000;1618
3;auspol2019;Hash_Abierto;170000;1731
3;auspol2019;Hash_Abierto;180000;1818
3;auspol2019;Cerrado_Lineal;10000;71
3;auspol2019;Cerrado_Lineal;20000;178
3;auspol2019;Cerrado_Lineal;30000;289
3;auspol2019;Cerrado_Lineal;40000;395
3;auspol2019;Cerrado_Lineal;50000;502
3;auspol2019;Cerrado_Lineal;60000;624
3;auspol2019;Cerrado_Lineal;70000;743
3;auspol2019;Cerrado_Lineal;80000;864
3;auspol2019;Cerrado_Lineal;90000;977
3;auspol2019;Cerrado_Lineal;100000;1197
3;auspol2019;Cerrado_Lineal;110000;1401
3;auspol2019;Cerrado_Lineal;120000;1521
